company_name,industry,status,data_points,output_file,csv_row
UNO Minda Ltd-,,success,98,esg_outputs\UNO_Minda_Ltd-_esg.json,1581
ASTRA MICROWAVE PRODUCTS LTD.,,success,98,esg_outputs\ASTRA_MICROWAVE_PRODUCTS_LTD__esg.json,1582
RATNAMANI METALS & TUBES LTD.-,,success,98,esg_outputs\RATNAMANI_METALS___TUBES_LTD_-_esg.json,1583
EMAMI LTD.-,,success,98,esg_outputs\EMAMI_LTD_-_esg.json,1584
NHPC LTD.,,success,98,esg_outputs\NHPC_LTD__esg.json,1585
UPL Limited,,success,98,esg_outputs\UPL_Limited_esg.json,1586
Electronics Mart India Ltd,,success,98,esg_outputs\Electronics_Mart_India_Ltd_esg.json,1587
INDIA GLYCOLS LTD.,,success,98,esg_outputs\INDIA_GLYCOLS_LTD__esg.json,1588
InterGlobe Aviation Ltd,,success,98,esg_outputs\InterGlobe_Aviation_Ltd_esg.json,1589
EMAMI PAPER MILLS LTD.,,success,98,esg_outputs\EMAMI_PAPER_MILLS_LTD__esg.json,1590
