company_name,status,data_points,output_file,csv_row
Poonawalla Fincorp Ltd,success,98,esg_outputs\Poonawalla_Fincorp_Ltd_esg.json,52
Welspun Specialty Solutions Ltd,success,98,esg_outputs\Welspun_Specialty_Solutions_Ltd_esg.json,53
Bosch Ltd,success,98,esg_outputs\Bosch_Ltd_esg.json,54
Apollo Tyres Ltd,success,98,esg_outputs\Apollo_Tyres_Ltd_esg.json,55
Safari Industries India Ltd,success,98,esg_outputs\Safari_Industries_India_Ltd_esg.json,56
Safari Industries India Ltd,success,98,esg_outputs\Safari_Industries_India_Ltd_esg.json,57
Great Eastern Shipping Company Ltd,success,98,esg_outputs\Great_Eastern_Shipping_Company_Ltd_esg.json,58
Fiem Industries Ltd,success,98,esg_outputs\Fiem_Industries_Ltd_esg.json,59
Rishabh Instruments Ltd,success,98,esg_outputs\Rishabh_Instruments_Ltd_esg.json,60
GOCL Corporation Ltd-,success,98,esg_outputs\GOCL_Corporation_Ltd-_esg.json,61
