company_name,status,data_points,output_file,csv_row,error
Poonawalla Fincorp Ltd,success,98.0,esg_outputs\Poonawalla_Fincorp_Ltd_esg.json,52,
Welspun Specialty Solutions Ltd,success,98.0,esg_outputs\Welspun_Specialty_Solutions_Ltd_esg.json,53,
Bosch Ltd,success,98.0,esg_outputs\Bosch_Ltd_esg.json,54,
Apollo Tyres Ltd,success,98.0,esg_outputs\Apollo_Tyres_Ltd_esg.json,55,
Safari Industries India Ltd,success,98.0,esg_outputs\Safari_Industries_India_Ltd_esg.json,56,
Safari Industries India Ltd,success,98.0,esg_outputs\Safari_Industries_India_Ltd_esg.json,57,
Great Eastern Shipping Company Ltd,success,98.0,esg_outputs\Great_Eastern_Shipping_Company_Ltd_esg.json,58,
Fiem Industries Ltd,success,98.0,esg_outputs\Fiem_Industries_Ltd_esg.json,59,
Rishabh Instruments Ltd,success,98.0,esg_outputs\Rishabh_Instruments_Ltd_esg.json,60,
GOCL Corporation Ltd-,success,98.0,esg_outputs\GOCL_Corporation_Ltd-_esg.json,61,
Precision Camshafts Ltd,success,98.0,esg_outputs\Precision_Camshafts_Ltd_esg.json,62,
Visaka Industries Ltd,success,98.0,esg_outputs\Visaka_Industries_Ltd_esg.json,63,
Avadh Sugar & Energy Ltd,failed,,,64,PDF download failed
GMM Pfaudler Ltd,success,98.0,esg_outputs\GMM_Pfaudler_Ltd_esg.json,65,
Welspun Corp Ltd,failed,,,66,PDF download failed
Symphony Ltd,success,98.0,esg_outputs\Symphony_Ltd_esg.json,67,
Bajaj Electricals Ltd-,success,98.0,esg_outputs\Bajaj_Electricals_Ltd-_esg.json,68,
Dabur India Ltd,success,98.0,esg_outputs\Dabur_India_Ltd_esg.json,69,
Page Industries Ltd,success,98.0,esg_outputs\Page_Industries_Ltd_esg.json,70,
Apar Industries Ltd,success,98.0,esg_outputs\Apar_Industries_Ltd_esg.json,71,
