company_name,status,data_points,output_file
Innova Captab Ltd,success,98,esg_outputs\Innova_Captab_Ltd_esg.json
Alembic Ltd,success,98,esg_outputs\Alembic_Ltd_esg.json
Happiest Minds Technologies Ltd,success,98,esg_outputs\Happiest_Minds_Technologies_Ltd_esg.json
Balkrishna Industries Ltd-,success,98,esg_outputs\Balkrishna_Industries_Ltd-_esg.json
Shanthi Gears Ltd,success,98,esg_outputs\Shanthi_Gears_Ltd_esg.json
Sumitomo Chemical India Ltd,success,98,esg_outputs\Sumitomo_Chemical_India_Ltd_esg.json
Torrent Pharmaceuticals Ltd,success,98,esg_outputs\Torrent_Pharmaceuticals_Ltd_esg.json
Godrej Properties Ltd,success,98,esg_outputs\Godrej_Properties_Ltd_esg.json
Balkrishna Industries Ltd-,success,98,esg_outputs\Balkrishna_Industries_Ltd-_esg.json
Greaves Cotton Ltd,success,98,esg_outputs\Greaves_Cotton_Ltd_esg.json
Pix Transmissions Ltd,success,98,esg_outputs\Pix_Transmissions_Ltd_esg.json
Voltamp Transformers Ltd,success,98,esg_outputs\Voltamp_Transformers_Ltd_esg.json
Sun Pharmaceutical Industries Ltd,success,98,esg_outputs\Sun_Pharmaceutical_Industries_Ltd_esg.json
Ideaforge Technology Ltd,success,98,esg_outputs\Ideaforge_Technology_Ltd_esg.json
Sonata Software Ltd,success,98,esg_outputs\Sonata_Software_Ltd_esg.json
Neuland Laboratories Ltd,success,98,esg_outputs\Neuland_Laboratories_Ltd_esg.json
Novartis India Ltd,success,98,esg_outputs\Novartis_India_Ltd_esg.json
Max Healthcare Institute Ltd,success,98,esg_outputs\Max_Healthcare_Institute_Ltd_esg.json
Astec Lifesciences Ltd,success,98,esg_outputs\Astec_Lifesciences_Ltd_esg.json
Tube Investments of India Ltd,success,98,esg_outputs\Tube_Investments_of_India_Ltd_esg.json
