company_name,status,data_points,output_file,error
Innova Captab Ltd,success,98.0,esg_outputs\Innova_Captab_Ltd_esg.json,
Alembic Ltd,success,98.0,esg_outputs\Alembic_Ltd_esg.json,
Happiest Minds Technologies Ltd,success,98.0,esg_outputs\Happiest_Minds_Technologies_Ltd_esg.json,
Balkrishna Industries Ltd-,success,98.0,esg_outputs\Balkrishna_Industries_Ltd-_esg.json,
Shanthi Gears Ltd,success,98.0,esg_outputs\Shanthi_Gears_Ltd_esg.json,
Sumitomo Chemical India Ltd,success,98.0,esg_outputs\Sumitomo_Chemical_India_Ltd_esg.json,
Torrent Pharmaceuticals Ltd,success,98.0,esg_outputs\Torrent_Pharmaceuticals_Ltd_esg.json,
Godrej Properties Ltd,success,98.0,esg_outputs\Godrej_Properties_Ltd_esg.json,
Balkrishna Industries Ltd-,success,98.0,esg_outputs\Balkrishna_Industries_Ltd-_esg.json,
Greaves Cotton Ltd,success,98.0,esg_outputs\Greaves_Cotton_Ltd_esg.json,
Pix Transmissions Ltd,success,98.0,esg_outputs\Pix_Transmissions_Ltd_esg.json,
Voltamp Transformers Ltd,success,98.0,esg_outputs\Voltamp_Transformers_Ltd_esg.json,
Sun Pharmaceutical Industries Ltd,success,98.0,esg_outputs\Sun_Pharmaceutical_Industries_Ltd_esg.json,
Ideaforge Technology Ltd,success,98.0,esg_outputs\Ideaforge_Technology_Ltd_esg.json,
Sonata Software Ltd,success,98.0,esg_outputs\Sonata_Software_Ltd_esg.json,
Neuland Laboratories Ltd,success,98.0,esg_outputs\Neuland_Laboratories_Ltd_esg.json,
Novartis India Ltd,success,98.0,esg_outputs\Novartis_India_Ltd_esg.json,
Max Healthcare Institute Ltd,success,98.0,esg_outputs\Max_Healthcare_Institute_Ltd_esg.json,
Astec Lifesciences Ltd,success,98.0,esg_outputs\Astec_Lifesciences_Ltd_esg.json,
Tube Investments of India Ltd,success,98.0,esg_outputs\Tube_Investments_of_India_Ltd_esg.json,
Thermax Ltd,success,98.0,esg_outputs\Thermax_Ltd_esg.json,
Borosil Ltd,success,98.0,esg_outputs\Borosil_Ltd_esg.json,
Dhanuka Agritech Ltd,success,98.0,esg_outputs\Dhanuka_Agritech_Ltd_esg.json,
Transport Corporation of India Ltd,success,98.0,esg_outputs\Transport_Corporation_of_India_Ltd_esg.json,
Kirloskar Brothers Ltd-,success,98.0,esg_outputs\Kirloskar_Brothers_Ltd-_esg.json,
ICRA Ltd,success,98.0,esg_outputs\ICRA_Ltd_esg.json,
Privi Speciality Chemicals Ltd,success,98.0,esg_outputs\Privi_Speciality_Chemicals_Ltd_esg.json,
Devyani International Ltd,success,98.0,esg_outputs\Devyani_International_Ltd_esg.json,
Saint Gobain Sekurit India Ltd,failed,,,PDF download failed
Thyrocare Technologies Ltd,success,98.0,esg_outputs\Thyrocare_Technologies_Ltd_esg.json,
Punjab Chemicals & Crop Protection Ltd-,success,98.0,esg_outputs\Punjab_Chemicals___Crop_Protection_Ltd-_esg.json,
CreditAccess Grameen Ltd,success,98.0,esg_outputs\CreditAccess_Grameen_Ltd_esg.json,
IDFC First Bank Ltd,success,98.0,esg_outputs\IDFC_First_Bank_Ltd_esg.json,
NESCO Ltd,success,98.0,esg_outputs\NESCO_Ltd_esg.json,
Birlanu Ltd,success,98.0,esg_outputs\Birlanu_Ltd_esg.json,
Indian Hume Pipe Company Ltd,success,98.0,esg_outputs\Indian_Hume_Pipe_Company_Ltd_esg.json,
Artemis Medicare Services Ltd,success,98.0,esg_outputs\Artemis_Medicare_Services_Ltd_esg.json,
KEI Industries Ltd,success,98.0,esg_outputs\KEI_Industries_Ltd_esg.json,
Graphite India Ltd,success,98.0,esg_outputs\Graphite_India_Ltd_esg.json,
Aditya Birla Sun Life AMC Ltd,success,98.0,esg_outputs\Aditya_Birla_Sun_Life_AMC_Ltd_esg.json,
