Company Name,PDF Link
Innova Captab Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6736f655-4b93-4b72-ad11-42fca1a72e1b.pdf
Alembic Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c563fbb6-70b8-43c2-86e2-ebe3ffadb3d4.pdf
Happiest Minds Technologies Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3632a2f2-4e90-4e59-adec-f241851d1bab.pdf
Balkrishna Industries Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=340b63c6-cfb1-4928-9f8d-ffb87b3c98e9.pdf
Shanthi Gears Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8df3a76f-b120-43e5-9c35-88cc969e9e86.pdf
Sumitomo Chemical India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ee0e8bd0-b332-4b69-b622-6272131d6332.pdf
Torrent Pharmaceuticals Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a5e846a9-9190-4494-a112-590cf018c735.pdf
Godrej Properties Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3a251043-90e5-4748-b94a-2c9f364ef43a.pdf
Balkrishna Industries Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bd430b36-c588-47b2-aba0-b87b26602c94.pdf
Greaves Cotton Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1791c83b-2dc1-4faa-a7f2-587f9a02a9db.pdf
Pix Transmissions Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4add3f2a-6e70-4d4b-875d-58e30ca992eb.pdf
Voltamp Transformers Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=08c0ce17-0f64-42f1-ba59-ee0642133ca5.pdf
Sun Pharmaceutical Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc38eee2-c7fa-44bb-81a2-f13c151eff8d.pdf
Ideaforge Technology Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8383f4a9-ec78-4300-8ac6-099dccebcc34.pdf
Sonata Software Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f8c9034f-041e-4a5a-a705-70eb80076e0a.pdf
Neuland Laboratories Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc4dc909-f8b0-41af-992b-1772e3dc9828.pdf
Novartis India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=861bc8a7-45cb-46da-acaa-f25ed7c6227b.pdf
Max Healthcare Institute Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f0d1a0ef-ebc7-4101-9585-57327648258f.pdf
Astec Lifesciences Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=88182045-1b04-4429-ada0-ff50f322b556.pdf
Tube Investments of India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2bb6c0ae-f08f-4de4-872a-b60dc935e31a.pdf
Thermax Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=41bfc39f-0b4e-4de3-ac29-6f2aab62dc00.pdf
Borosil Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=beb1eb22-0663-4433-aa24-28d5ecdc88f7.pdf
Dhanuka Agritech Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2fa309eb-f7cb-4a00-a8d3-853ea9da14fe.pdf
Transport Corporation of India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf06ee3c-e38e-4cf2-b5d2-38c1ee3b3681.pdf
Kirloskar Brothers Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b5260602-05a5-447f-8888-85ffedd79182.pdf
